track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
6gokadtiVvFO0nuAoOLX98,Ramayama,Don Omar,67,4HtvEbNQ4esvgvSuBO6JnM,Ramayama,2019-04-20,This Is: Don Omar,37i9dQZF1DWYBUdckfg1va,latin,reggaeton,0.696,0.708,9,-5.252,0,0.138,0.187,0.0,0.387,0.961,149.994,195987
41L3O37CECZt3N7ziG2z7l,Yummy,Justin Bieber,95,1SN6N3fNkZk5oXQ9X46QZ3,Yummy,2020-01-03,Todo Éxitos,2ji5tRQVfnhaX1w9FhmSzk,pop,dance pop,0.662,0.519,9,-6.554,0,0.106,0.404,0.0,0.121,0.495,145.841,210427
4LwOrnuxJwR7C5Sw4liY4Z,What's Your Fantasy (Featuring Shawna),Ludacris,63,2kT80DHqRtHQzDhQ2RCoIV,Back For The First Time,2000-01-01,Hip-Hop Drive,37i9dQZF1DWUFmyho2wkQU,rap,hip hop,0.915,0.79,6,-3.186,0,0.207,0.16,0.0,0.112,0.967,140.095,275907
1iQpStZpzBb5TOuTDKJKdj,Poison,Alice Cooper,59,0ztezUxR9YMkIP1SFRSnV1,Alice Cooper Classicks,1989,’80s Hard Rock,37i9dQZF1DX68H8ZujdnN7,rock,hard rock,0.3,0.894,2,-7.786,0,0.109,0.0515,0.000333,0.125,0.268,118.631,269600
1QR456HRYCI6gPlikrKrvH,Tricky Tricky,W&W,59,0yAuAhX7FBv322elHi1eXB,Tricky Tricky,2019-11-11,[EAS]: Festival Big Room,71UHE27ayQs8ZDxQwY0cY1,edm,big room,0.632,0.962,8,-3.311,1,0.302,0.0146,0.53,0.297,0.0919,139.051,162302
0LP3SUCVq4PYB4dEBZNqWN,Melanin Man,Brasstracks,26,6MBrVHj4jlZNHcMfDWOqMV,Good Love,2016-08-19,Urban Contemporary,4425cRh83Uzor4qCRfM9lb,r&b,urban contemporary,0.514,0.686,10,-4.991,0,0.207,0.0104,0.0,0.273,0.524,81.328,250521
0E6PsO3ymCfUh7pJQjBgkj,APESHIT,The Carters,66,3hCiP4V5Mu3Y0Z8lb70iDp,EVERYTHING IS LOVE,2018-06-16,Feeling Accomplished,37i9dQZF1DWTDafB3skWPN,r&b,hip pop,0.705,0.784,2,-6.477,1,0.271,0.0133,0.0,0.168,0.377,160.035,264853
0Ui05Ov0s4PnRc4JI3Pilg,My Favourite Game,The Cardigans,63,5DiOwioOBqVCSH6IwGBXEc,Gran Turismo (Remastered),1998-01-01,Permanent Wave,5glAD13obyL0G9SH9ukBz2,rock,permanent wave,0.586,0.777,5,-6.185,0,0.0303,4.78e-05,0.00147,0.0729,0.424,143.339,220468
2mKouqwAIdQnMP43zxR89r,What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe,72,6vMgb2mih3pPiWUxF8VEdI,Jealous Ones Still Envy (J.O.S.E),2001-12-04,90s/00s Hip Hop & RnB,0Ar0Ng9DlAWZtSPBvOQgOa,r&b,hip pop,0.835,0.707,8,-5.074,1,0.0598,0.0219,2.19e-05,0.108,0.919,93.955,267093
0mtdxzBRDbueLFpiwpbHKO,Sola,Luis Fonsi,62,5C0YLr4OoRGFDaqdMQmkeH,VIDA,2019-02-01,Latest Latin American Hits 2020,51LvliKED7oZNJR8XCiPip,latin,latin hip hop,0.737,0.525,6,-6.677,0,0.25,0.509,0.0,0.0608,0.483,127.97,205053
6FOkXQQZgwjW2PpHxkTuyv,Bad Romance - Live,Thirty Seconds To Mars,43,5nI4Eo1vWUWXzeT4WrzTGL,This Is War (Deluxe),2009,Unplugged Hits 📣,5NTm3injIRkUMROsZr3C2O,latin,latin pop,0.54,0.487,0,-7.013,1,0.0311,0.529,0.000106,0.197,0.15,104.718,282147
54l9GJGQ1UCFKe2tzt1Vxt,Only You (with Little Mix),Cheat Codes,70,4DmPCrBlJGedbs6GW7EQ1m,Only You (with Little Mix),2018-06-22,indie poptimism🕺🏻,6MQeEHHDs6HQkN5Dlj3oKo,pop,indie poptimism,0.607,0.74,4,-4.793,0,0.172,0.0829,0.0,0.105,0.219,108.05,189401
71UYuIZf0TeXAjyy72COVr,Tear Me Down (feat. Philip Rustad),Davai,57,0RUNbRdWfIcWw8cawHYi1K,Tear Me Down (feat. Philip Rustad),2019-09-20,Tropical House,37i9dQZF1DX0AMssoUKCz7,latin,tropical,0.72,0.817,11,-4.344,1,0.109,0.263,0.0,0.103,0.703,100.02,184500
6e0CvGZf7CouOpYF8toXHC,Body On My,Loud Luxury,67,2R66I0nzp3NnuUlzIGWQ5P,Body On My,2019-03-29,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.744,0.726,1,-4.675,1,0.0463,0.0399,0.0,0.374,0.687,121.985,192507
6ASmDSPVQ5eAPyuqvkFJsA,The Addict,Bo Saris,1,6g0IsgnAzrEGv905BPRq6N,Gold,2014-01-01,NEO FUNK AND SOUL,2WbTrS5D0V2TW6DiDkJBru,r&b,neo soul,0.544,0.515,9,-6.994,1,0.0319,0.254,0.000551,0.144,0.55,144.057,224973
2GHJIrkfdGtr8CReJrISw2,Eye to Eye,Lee Fields & The Expressions,26,3u38Zm1pGlCrGZSsUk2396,Emma Jean,2014-06-02,NEO FUNK AND SOUL,2WbTrS5D0V2TW6DiDkJBru,r&b,neo soul,0.452,0.569,5,-7.718,1,0.0378,0.0792,6.76e-05,0.117,0.475,172.633,254605
5Ll0VO5jrM6rN9cv2bPLl3,Tug of War,Algebra Blessett,0,1iKFGmKKlPt5ci4KShM2gR,PURPOSE,2008-02-26,Neo Soul,2YPP7fiYu5pIcp2yyHvw4A,r&b,neo soul,0.8,0.726,11,-7.116,0,0.0753,0.16,0.0,0.202,0.798,122.06,253667
765ZpBQUUFKAVjzVyW77if,stop and stare,joan,47,2x0dCdfqGuqk7e9eJsUsjU,portra,2018-07-11,Indie Poptimism,21nxmipQe5xtXoHHPaYfnY,pop,indie poptimism,0.58,0.746,10,-5.704,1,0.04,0.00948,6.76e-05,0.11,0.548,97.008,201953
7pecljF8iq39fpYlQvuioL,Comme des Garçons (Like the Boys),Rina Sawayama,26,2tOdOKubtZ8ftdDzkaXiFc,Comme des Garçons (Like the Boys),2020-01-17,Girl On Fire,37i9dQZF1DX4F2k37fMTyn,r&b,hip pop,0.724,0.714,0,-3.776,1,0.116,0.0246,0.00308,0.441,0.65,119.162,181506
5xEWiG0ug0rOymOjlzSGzx,Twisted (feat. Logic & A$AP Rocky),French Montana,64,7rmnGDfffE9OoCScZ4pjjU,Twisted (feat. Logic & A$AP Rocky),2019-10-11,A1 Hip-Hop,37i9dQZF1DX0sDai2F5jCQ,rap,hip hop,0.805,0.871,1,-2.987,1,0.214,0.009,0.0,0.195,0.926,169.871,262354
5hsWWWUEmfSmClsm0Wqy6X,No Pensarte,Myke Towers,0,2g5gqkxdtFPiQmRxxc5jVL,No Pensarte,2018-10-19,Trap Luv,37i9dQZF1DWTLxOkM7PwUb,rap,trap,0.735,0.661,0,-4.525,1,0.351,0.564,1.47e-05,0.108,0.526,179.747,221484
4TSxpQC5oY6XBkUSLPYM6G,Boombox,Laura Marano,47,0rtgFgTStiZiPbvX7RhA2W,Boombox,2016-03-11,Post teen pop,7jQHOrErpLMStcUUSavQWR,pop,post-teen pop,0.6,0.809,9,-4.982,1,0.164,0.0176,0.0,0.139,0.61,127.981,196303
7lRsNbdOGykkMAgsqs4R1C,Báilame,Nacho,5,61le3AChlSaCTq2gFgLxRE,Bailame,2017-04-14,MIX LATIN POP°,6IS6XTdbS9qJZgfjNKgpB8,latin,latin pop,0.817,0.869,6,-4.791,1,0.18,0.163,0.00226,0.0497,0.561,96.029,207200
0W2pKKNHnfZZgcAxDPW0hy,Sofia,Alvaro Soler,66,5aCWSHFSObMcW1mXSF9Lv6,Eterno Agosto,2016-07-15,"Hot Latino Mix (Latin, Hip Hop, Rap, RnB, Dancehall, Reggeaton, Afro)",3hR2R6szlkwZeGyclTgHcF,latin,latin hip hop,0.688,0.729,2,-5.939,1,0.0315,0.109,0.0,0.225,0.909,127.999,210467
3WefHNGtjexZvi66ZEx9u4,Hurts Like Hell (feat. Offset),Madison Beer,75,4FAW4D50oWaQ3EoRcsJduh,Hurts Like Hell (feat. Offset),2018-11-09,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.704,0.56,1,-6.791,0,0.179,0.185,0.0,0.0948,0.609,75.003,207109
2zlq3jyBgKbiBMfmqU0x9F,Torrent,Sidney Samson,0,1LUEJENeEAJdliMIDjauBx,Torrent,2014-01-10,Jeff Seid Electro House,2Tisn6NZbeofpc57Oc6MGo,edm,electro house,0.635,0.868,4,-5.688,1,0.057,0.000381,0.717,0.0606,0.0833,127.962,318755
3EoW3WFVterpG1cTPUvoQC,Everyday,Lucy Pearl,51,5cT0D5QzJo8coTaeT4OynR,Lucy Pearl,2000,Soul Coffee (The Best Neo-Soul Mixtape ever),16iNEskDatG5KbDV16F6LR,r&b,neo soul,0.74,0.644,8,-4.873,0,0.261,0.152,0.0,0.0912,0.881,81.741,240467
4Za5hZBGX6z9a7X95PEFI2,Message In The Music,Debra Killings,8,4TnqUqaNvt3tb1ECMBBEWr,Surrender,2003-07-17,Gospel Neo Soul,2wP2UAYC4Nqb6oUXkMJlAz,r&b,neo soul,0.507,0.516,6,-5.613,0,0.283,0.0237,0.000142,0.0598,0.719,78.786,235200
1kw5VKLs2JFpg3FjY1RwCL,Primera Cita - Recorded at Electric Lady Studios NYC,CNCO,55,3xKhnVSlIEGG4MFnackt9M,Spotify Singles,2019-12-04,Latin Pop VIP,37i9dQZF1DX1QnNyJOBQBv,latin,latin pop,0.458,0.34,10,-9.16,1,0.0274,0.708,0.0,0.107,0.546,88.931,258938
24gRD0yTcDs2DhAydE5qOG,Popcorn,Helion,40,2Xwvmb06D0k9GjvLOjxvmU,Popcorn,2019-09-27,Bounce United,08QTrfsYYouffgnPjmllAQ,edm,big room,0.525,0.925,2,-4.137,1,0.047,0.00217,0.803,0.297,0.366,128.031,168557
0PvbgBKA1ZMsTNrd8QVlCi,Fly,Lucky Daye,47,3Shvkj36f9cbFZOQe9Dc0K,Fly,2019-12-02,New R&B‏‏​​   ‍,4I6rTSxqKl1LRvES2O9owQ,r&b,urban contemporary,0.821,0.618,1,-4.816,1,0.0353,0.00466,0.000629,0.182,0.502,127.968,163024
4hy4fb5D1KL50b3sng9cjw,Smells Like Teen Spirit,Nirvana,14,3SBQfBKAPWvCr4qse1uNis,Nirvana (International Version),2002-01-01,80's Songs | Top 💯 80s Music Hits,65HtIbyFkaQPflCa4oW8KO,pop,electropop,0.48,0.875,1,-5.898,1,0.0429,1.62e-05,0.000751,0.103,0.826,116.754,300827
03AOspIZ6HveZ0fsB9bUGG,You,Zero Theorem,31,1YPRU5esICf3aUFRGbqLNv,You,2019-10-11,Hard Rock Workout,3YouF0u7waJnolytf9JCXf,rock,hard rock,0.411,0.983,1,-3.332,1,0.118,0.00287,0.0,0.242,0.582,74.959,206700
7tMGrAfLAtujIkw3vZDekN,Refuel,Rocket Scientists,10,2Shrm3O1VOnm5lTd6JLPWA,Refuel,2014-11-18,Progressive Rock / Metal - Rock /Metal  Progresivo,7GhTpb4eOp6403Bmgqz3db,rock,album rock,0.427,0.721,9,-9.547,1,0.027,0.000731,0.214,0.125,0.567,82.502,133255
3k9i7UzeSUYWIfUZFeFDUd,Layla - 40th Anniversary Version / 2010 Remastered,Derek & The Dominos,21,5IJXJ6OL7wtN8nc3EyQj4N,Layla And Other Assorted Love Songs (40th Anniversary / 2010 Remastered),1970-11-01,House Of The Rising Sun,1bMYfBHYBCRHY5LGkjlpSy,rock,album rock,0.404,0.903,1,-3.88,1,0.0668,0.577,0.297,0.287,0.498,115.672,423840
5LciLoxa1gK70yIUeoHgRx,To My Love - Tainy Remix,Bomba Estéreo,72,7jo5KFYHLHpbVX0glLHiIA,Amanecer (Remixed),2016-12-16,ELECTROPOP EN ESPAÑOL,3VfscqF7zq65IGKiYM3FS0,pop,electropop,0.764,0.59,7,-4.292,1,0.0395,0.129,0.00847,0.0851,0.281,99.996,251773
1Mwkihf9RgewFpE15q3Xsa,Without You,Thomas Gold,44,3FNm0k61W3D0NxU8no48WL,Without You,2019-11-06,Brand New EDM,2dNitDEHM9FpUGEHWc7zyW,edm,progressive electro house,0.518,0.746,4,-4.831,1,0.0436,0.0226,3.56e-06,0.633,0.255,128.075,233906
18PergoIrGmRyeYxnaXJN2,Kill This Love,BLACKPINK,79,7viSsSKXrDa95CtUcuc1Iv,KILL THIS LOVE,2019-04-05,Alex Workout,7fRlDx99wBg6i45OCvxwKY,edm,progressive electro house,0.738,0.861,2,-4.141,1,0.237,0.32,0.00175,0.325,0.58,131.974,189052
3B3El69ZXyan2w7wt14Z6c,B 612,Nhyx,38,4LNlXjHDKmn685CFOEXLYH,B 612,2019-12-13,Electro Posé - Discoveries,6nZaTh6K1SwhdELFTmA99C,edm,electro house,0.684,0.609,5,-8.236,1,0.0369,0.853,0.902,0.102,0.204,117.973,268475
7j984GrN3brJOMNzXmffg7,wander,joeshort,0,69xGuJEhln7TnmNSIRq5V3,wander,2018-03-11,Tastemakers Ball  -  EDM - POP and FUN,67cpuBAXjwibm3LG333Oaq,edm,pop edm,0.74,0.494,6,-12.662,0,0.0912,0.282,0.862,0.102,0.829,82.969,104096
2uYFvcf7n81AiguTVe4bSo,Amor,Cristian Castro,50,55P4D6uBsoMMRDMaxVn6mp,2En1,2017-02-24,Latin Pop Classics,37i9dQZF1DX6ThddIjWuGT,latin,latin pop,0.643,0.713,11,-11.298,1,0.0345,0.33,0.0,0.0786,0.741,128.135,299000
5ewa79Xg31HDefmPUpZX0Y,Video,India.Arie,14,2vc5pjWadm2Q8FxdJ3JSwV,Acoustic Soul,2001-03-27,Neo-Soul / Soulful R&B,4F3xAxHxeBwXhK6k6GPnrW,r&b,neo soul,0.652,0.604,9,-8.766,0,0.227,0.111,1.01e-05,0.0409,0.675,170.003,249960
4pI7VTiN59CZnGJUgVZPoy,Murmuration,Blue Wednesday,61,0FBkB6e7deadNGBxQCpQc0,Chillhop Essentials Spring 2019,2019-03-20,Indie/Jazz Poptimism,6OaTudLqBEuTyUMPxRNpZc,pop,indie poptimism,0.686,0.373,11,-16.007,0,0.118,0.532,0.926,0.075,0.203,83.203,156000
6fAADiK2jnjdm5QRI7hSYc,When We Was Fab - 2004 Mix,George Harrison,44,1nbq8GgaVdINI3PulXvPUq,Cloud Nine,1987-11-02,I didn’t know perm stood for permanent (wave),3e6gYPyrTbaB8BWgSHCt5j,rock,permanent wave,0.507,0.6,5,-9.088,1,0.0236,0.59,0.00408,0.291,0.387,92.416,239853
03ejfFAbwrrANbH4fZzF0W,melancholyism.,Super Whatevr,46,1Umawe3NueijnMkEGiQwZV,melancholyism.,2020-01-07,The Pulse of Indie Poptimism,5qFXOOxrQVyS4UCq3UilZN,pop,indie poptimism,0.44,0.652,0,-6.201,0,0.079,0.0357,0.000136,0.0587,0.5,93.353,188107
2yx7XX9v7M6yhm2fBG7K3E,Ain't That Easy,D'Angelo,49,5Hfbag0SsHxafx1SySFSX6,Black Messiah,2014-12-15,Neo Soul / Modern Jazz / Smooth Hiphop,07SNJ4MwYba9wwmzrbjmYi,r&b,neo soul,0.545,0.644,6,-8.111,1,0.415,0.137,0.000402,0.185,0.614,176.176,289347
6dugx9WBSS8TDxbKqp9zmj,Scatman's World,Scatman John,54,2MRWFajfjxfLAF3wwmdv5j,Scatman's World,1995-06-01,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.703,0.874,11,-10.801,0,0.0566,0.0705,4.84e-06,0.0947,0.939,146.987,225133
0VMipILpCmHIaKhzUIY8FW,Bon Appétit (feat. YA-LE) - Noizu Remix,Shaun Frank,30,6x3QvmbF2TBNDLBOECCjrv,Bon Appétit (feat. YA-LE) [Noizu Remix],2018-12-07,Nasty Bits,37i9dQZF1DX2VvACCrgjrt,edm,electro house,0.713,0.647,2,-5.684,1,0.0514,0.0449,0.747,0.0619,0.188,125.004,247680
4OOuZMDLHw37tWy9XJu3F7,Teo Torriatte (Let Us Cling Together) - 2011 Mix,Queen,33,3hfcNo7WWy1Z1ie0nJ8PRy,A Day At The Races (2011 Remaster),1976-12-10,The Queen - La Discografia Completa,3E88dLx4fgFYY70gdGzdnB,rock,album rock,0.274,0.239,2,-10.202,1,0.0291,0.647,6.53e-06,0.101,0.122,141.854,355653
6oyUroY42HiaD9Q9VBw4BP,Here Without You - Acoustic Version,3 Doors Down,11,5vGmRi8jMNCvmysQgBBhpx,Seventeen Days (International Version),2005,Unplugged Hits 📣,5NTm3injIRkUMROsZr3C2O,latin,latin pop,0.551,0.574,10,-6.265,0,0.0263,0.0203,0.0,0.186,0.308,143.734,232013
1345xOev1kyaeqRdeTxiLi,Life in the Balance,The Four Owls,44,3JitDZ8GaCRvhBGpSDBCBj,Nature's Greatest Mystery,2011-12-05,Saxophone in Hip Hop - R&B Lounge - Jazz Rap,2ujrP2rPxu8ao7wNeG1ZOY,r&b,neo soul,0.666,0.84,7,-5.376,1,0.327,0.489,0.0,0.163,0.697,86.66,275827
2hdNya0b6Cc2YJ8IyaQIWp,Livin' Thing,Electric Light Orchestra,69,7a35UzxXYuKQGMGImyB0Un,A New World Record,1976-09-01,Classic Rock,5BygwTQ3OrbiwVsQhXFHMz,rock,classic rock,0.549,0.651,0,-7.097,1,0.0323,0.583,0.0,0.121,0.368,122.818,212307
4rLpAOk5KVNcqEMK3m6Lje,"Ain't No Fun (If the Homies Cant Have None) (feat. Nate Dogg, Warren G & Kurupt)",Snoop Dogg,63,7f9KDGqY7X2VLBM5aA66KM,Doggystyle,1993,90's Gangster Rap,1g3APxk2mLVNU2TuHCPli0,rap,gangster rap,0.84,0.798,8,-5.079,1,0.0699,0.045,4.32e-05,0.172,0.695,100.175,246347
3zfVj6UVenatGKid6QirRW,Fight,Oleander,41,12gGF8RinPYXZ5eqCFjhFg,Something Beautiful,2013-04-16,Badass Rock,44bkJI1QGkT2O0GYJSsbkp,rap,southern hip hop,0.46,0.978,1,-5.25,0,0.0982,0.000289,6.62e-06,0.329,0.302,92.51,212950
2Wr970IfovsSGnfkE08iMF,Find Me,Sigma,4,39Fu2q3D1SoyEmpxJ7M9Jg,Find Me,2016-11-04,Deep-deep Bubble Pop,744VClUYfFnZCDPcOUkg5G,pop,indie poptimism,0.572,0.797,5,-3.995,0,0.0483,0.064,0.0,0.105,0.252,135.006,204444
0AYr6VOn2CXG3siNrBrtKK,You & Me,SMOKN,26,3DsSLSVlwpX9lsLkqAQzCc,You & Me,2016-05-25,Chillout & Remixes 💜,4NlAd9NpIa92IjErMyAriM,pop,indie poptimism,0.705,0.689,0,-8.465,0,0.182,0.801,0.00111,0.147,0.441,119.967,246047
